time,0,1,2
0,0,0,0,0,0,0
1,4,0,0,1020500,0,0
2,4,2,0,1020500,2571000,0
3,4,2,2,1020500,2571000,7377600
4,4,7,2,1020500,7092000,7377600
5,0,7,4,0,7092000,11691200
6,15,7,4,3812500,7092000,11691200
7,15,7,6,3812500,7092000,17841600
8,15,7,8,3812500,7092000,23019200
9,15,10,4,3812500,10055000,11328000
10,15,10,7,3812500,10055000,19886400
11,15,2,9,3812500,2963000,24486400
12,15,11,9,3812500,11208000,24486400
13,15,8,10,3812500,8245000,27372800
14,15,14,10,3812500,14566000,27372800
15,15,14,11,3812500,14566000,30248000
16,15,14,12,3812500,14566000,31022400
17,15,14,15,3812500,14566000,39056000
18,15,23,15,3812500,23925000,39056000
19,31,23,15,7984000,23925000,39056000
20,31,23,13,7984000,23925000,34944000
21,16,15,15,4171500,15680000,40468800
22,16,21,15,4171500,21696000,40468800
23,16,21,16,4171500,21696000,42214400
24,20,21,15,5156000,21696000,39339200
25,20,21,18,5156000,21696000,47348800
26,20,21,23,5156000,21696000,59512000
27,26,15,19,6695500,15375000,50179200
28,26,16,19,6695500,16661000,50179200
29,26,23,19,6695500,23515000,50179200
30,26,23,17,6695500,23515000,45896000
31,26,23,22,6695500,23515000,57742400
32,26,23,20,6695500,23515000,53595200
33,26,23,22,6695500,23515000,58025600
34,26,23,24,6695500,23515000,61508800
35,26,30,24,6695500,30918000,61508800
36,26,21,29,6695500,21559000,76366400
37,10,31,25,2524000,31183000,66556800
38,27,31,25,6941000,31183000,66556800
39,27,31,28,6941000,31183000,72680000
40,32,31,25,8175500,31183000,64670400
41,32,31,28,8175500,31183000,72123200
42,32,25,32,8175500,25167000,82356800
43,32,25,32,8175500,25401000,82356800
44,32,34,27,8175500,34096000,70193600
45,32,34,30,8175500,34096000,77486400
46,26,34,31,6636000,34096000,81361600
47,30,34,31,7554500,34096000,81361600
48,43,34,31,10944500,34096000,81361600
49,43,27,31,10944500,27242000,79361600
50,43,36,29,10944500,36053000,74931200
51,43,36,32,10944500,36053000,82180800
52,43,36,36,10944500,36053000,93664000
53,43,42,33,10944500,42060000,84656000
54,43,42,36,10944500,42060000,93211200
55,43,42,38,10944500,42060000,99673600
56,43,34,39,10944500,34657000,102296000
57,43,42,39,10944500,42068000,102296000
58,43,42,35,10944500,42068000,89649600
59,43,42,38,10944500,42068000,99427200
60,43,42,38,10944500,42068000,97600000
61,43,42,41,10944500,42068000,105633600
62,43,42,40,10944500,42068000,104664000
63,26,42,41,6527500,42068000,106963200
64,37,42,41,9491000,42068000,106963200
65,51,32,37,12965000,32444000,96729600
66,51,34,37,12965000,34903000,96729600
67,51,42,37,12965000,42497000,96729600
68,51,42,38,12965000,42497000,99307200
69,51,42,38,12965000,42497000,97603200
70,42,42,40,10746000,42497000,103865600
71,42,42,43,10746000,42497000,111268800
72,49,42,43,12417500,42497000,111268800
73,45,39,43,11499000,39455000,111268800
74,45,44,38,11499000,44643000,98931200
75,45,44,39,11499000,44643000,102284800
76,45,44,41,11499000,44643000,105051200
77,45,44,44,11499000,44643000,112688000
78,45,50,44,11499000,50347000,112688000
79,45,50,45,11499000,50347000,117076800
80,54,50,41,13689500,50347000,105593600
81,54,41,42,13689500,41536000,107532800
82,54,45,42,13689500,45481000,107532800
83,54,45,43,13689500,45481000,112451200
84,54,45,47,13689500,45481000,120963200
85,54,52,44,13689500,52889000,114500800
86,41,52,43,10299500,52889000,111478400
87,47,46,43,11994000,46882000,111478400
88,47,46,48,11994000,46882000,122888000
89,47,56,44,11994000,56143000,113110400
90,47,56,44,11994000,56143000,113412800
91,47,56,50,11994000,56143000,128718400
92,65,56,47,16353500,56143000,120684800
93,65,56,49,16353500,56143000,126897600
94,65,48,46,16353500,48732000,119838400
95,65,48,47,16353500,48732000,121548800
96,65,48,53,16353500,48732000,136155200
97,53,51,53,13390000,51597000,136155200
98,53,54,49,13390000,54318000,126816000
99,53,54,50,13390000,54318000,129374400